flightIdUnique,timeToDepartureDays,price,departure
SK637_2019_4_2_12_35,29,70.5740211,2019-04-02T12:35:00Z
SK673_2019_4_2_15_0,29,70.5740211,2019-04-02T15:00:00Z
LH809_2019_4_2_4_5,28,136.2199485,2019-04-02T04:05:00Z
LH801_2019_4_2_8_0,28,136.2199485,2019-04-02T08:00:00Z
LH803_2019_4_2_11_10,28,136.2199485,2019-04-02T11:10:00Z
LH807_2019_4_2_14_25,29,136.2199485,2019-04-02T14:25:00Z
LH805_2019_4_2_16_50,29,136.2199485,2019-04-02T16:50:00Z
SK635_2019_4_3_7_0,29,70.5740211,2019-04-03T07:00:00Z
SK637_2019_4_3_12_35,30,70.5740211,2019-04-03T12:35:00Z
SK673_2019_4_3_15_0,30,70.5740211,2019-04-03T15:00:00Z
LH809_2019_4_3_4_5,29,136.2199485,2019-04-03T04:05:00Z
LH801_2019_4_3_8_0,29,136.2199485,2019-04-03T08:00:00Z
LH803_2019_4_3_11_15,29,136.2199485,2019-04-03T11:15:00Z
LH807_2019_4_3_14_25,30,136.2199485,2019-04-03T14:25:00Z
LH805_2019_4_3_16_50,30,136.2199485,2019-04-03T16:50:00Z
SK635_2019_4_4_7_0,30,90.1004301,2019-04-04T07:00:00Z
LH809_2019_4_4_4_5,30,136.2199485,2019-04-04T04:05:00Z
LH801_2019_4_4_8_10,30,162.99902369999998,2019-04-04T08:10:00Z
LH803_2019_4_4_11_10,30,162.99902369999998,2019-04-04T11:10:00Z
SK637_2019_4_1_12_35,27.5,70.5740211,2019-04-01T12:35:00Z
SK673_2019_4_1_15_0,27.5,70.5740211,2019-04-01T15:00:00Z
LH805_2019_4_1_16_50,27.5,120.87777,2019-04-01T16:50:00Z
LH803_2019_4_1_11_10,26.5,120.87777,2019-04-01T11:10:00Z
LH807_2019_4_1_14_25,27.5,120.87777,2019-04-01T14:25:00Z
SK635_2019_4_1_7_0,26.5,139.38136709999998,2019-04-01T07:00:00Z
LH809_2019_4_1_4_5,26.5,151.56212699999998,2019-04-01T04:05:00Z
LH801_2019_4_1_8_10,26.5,151.56212699999998,2019-04-01T08:10:00Z
SK635_2019_4_2_7_0,27.5,70.5740211,2019-04-02T07:00:00Z
SK637_2019_4_2_12_35,28.5,70.5740211,2019-04-02T12:35:00Z
SK673_2019_4_2_15_0,28.5,70.5740211,2019-04-02T15:00:00Z
LH801_2019_4_2_8_0,27.5,120.87777,2019-04-02T08:00:00Z
